时间,公共类充电桩数量_直流桩_全国,公共类充电桩数量_交流桩_全国
31/01/2017,38421,54443
28/02/2017,38490,54919
31/03/2017,38757,55117
30/04/2017,39163,55956
31/05/2017,41275,59597
30/06/2017,43212,62337
31/07/2017,45646,68978
31/08/2017,47736,72194
30/09/2017,49717,74783
31/10/2017,51776,76759
30/11/2017,56936,81734
31/12/2017,61375,86469
31/01/2018,65947,93065
28/02/2018,75922,102048
31/03/2018,77437,109584
30/04/2018,81492,114472
31/05/2018,84174,116761
30/06/2018,87956,119445
31/07/2018,90482,120713
31/08/2018,92871,123295
30/09/2018,97138,126398
31/10/2018,100685,183421
30/11/2018,108251,180935
31/12/2018,109393,189814
31/01/2019,157127,184083
28/02/2019,159058,188015
31/03/2019,163967,219053
30/04/2019,167556,222923
31/05/2019,171162,228980
30/06/2019,174652,236418
31/07/2019,186587,259504
31/08/2019,190188,265071
30/09/2019,194524,271028
31/10/2019,199793,277851
30/11/2019,,
31/12/2019,214670,301238
31/01/2020,,
29/02/2020,,
31/03/2020,,
30/04/2020,,
31/05/2020,,
30/06/2020,,
31/07/2020,240000,326000
31/08/2020,250000,341000
30/09/2020,255000,350000
31/10/2020,291000,376000
30/11/2020,297000,397000
31/12/2020,309000,498000
31/01/2021,344000,466000
28/02/2021,349000,488000
31/03/2021,356000,495000
30/04/2021,363000,505000
31/05/2021,368000,516000
30/06/2021,374000,550000
31/07/2021,383000,567000
31/08/2021,399000,586000
30/09/2021,428000,616000
31/10/2021,436000,626000
30/11/2021,450000,646000
31/12/2021,470000,677000
31/01/2022,486000,691000
28/02/2022,496000,717000
31/03/2022,502000,729000
30/04/2022,577000,755000
31/05/2022,613000,806000
30/06/2022,665000,863000
31/07/2022,684000,890000
